Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAR26 progress (%),Sector
1094,618201,"Widening and strengthening to 2 lane with paved shoulder from existing Ch. Km 56720 to Km 100820 and Design Ch. From Km 62600 to Km 106360 Total Length43.760 Km on SRINAGAR -BARAMULA URINH-01 in the UT of Jammu & Kashmir under project BEACON, Border Roads Organization BRO on EPC mode.",(MoRTH),Jammu and Kashmir,09/2023,11/2024,,11/2026,-,702.1,702.1,0.0,43.0,Roads & Highways
1095,618202,Construction of 2 lane with paved shoulders Baramulla Bypass Greenfield bypass from existing Ch. Km 47020 to Km 56720 and Design Ch. From 48500 to 62600 Total length 14.100 km on road Srinagar Baramulla Uri NH-01 in the UT of Jammu & Kashmir under Project.Package-III,(MoRTH),Jammu and Kashmir,03/2023,09/2024,,09/2026,-,992.43,992.43,0.0,38.0,Roads & Highways
1096,618203,"Construction of 4 lane with paved shoulder Pattan bypass Greenfield bypass from existing Ch. Km 24320 to Km 33760 and Design Ch. from Km 24400 to Km 35300, total length 10.900 km on road SrinagarBaramulla Uri NH-01 in the UT of Jammu & Kashmir under Project BEACON, Border Roads Organization BRO on EPC mode. Package-II",(MoRTH),Jammu and Kashmir,03/2023,08/2024,,07/2026,-,980.21,980.21,0.0,48.0,Roads & Highways
1097,618204,Construction of realignment between Pandrass- Pashkyun Total length 27.10 km on road Zozila-Kargil -Leh NH-1 to 2 lane specifications i.e. Drass alignment 9.30 km Kharboo realignment 6.30 km & Kargil alignment 11.50 km under project Vijayak BRO in the UT of Ladakh on EPC Mode,(MoRTH),Jammu and Kashmir,11/2021,06/2023,,06/2025,-,426.15,426.15,88.88,53.0,Roads & Highways
1098,618205,"Construction of 4 lane with paved shoulder from Existing Ch. 14200 to 24320 Design Ch. 14200 to 24400, Ch. 33760 to 42780 Design Ch. 35300 to 44294 & Ch. 43440 to 47020 Design Ch. 44958 to 48500 Delina Flyover including construction of flyover length 1.704 km of total length 22.736 kms in AOR of 760 BRTF on road SRINAGAR BARAMULA URI NH-01 in the UT of Jammu & Kashmir under project BEACON, Border Roads Organization BRO Package-IJob No NH-1-J&K-2022-23-110",(MoRTH),Jammu and Kashmir,06/2022,08/2023,,08/2025,-,823.46,823.46,252.28,78.0,Roads & Highways
1099,618206,Widening and Strengthening of Rafiabad-Kupwara-Chowkibal-Tangdhar-Chamkot NH- 701 road from design Ch. From 0000 to 51000 to two lanes with paved shoulders under Project Beacon in the UT of Jammu & Kashmir on EPC mode Package-I.,(MoRTH),Jammu and Kashmir,03/2024,11/2024,,05/2027,-,1404.94,1404.94,105.6,34.0,Roads & Highways
1100,618220,Reconstruction and widening to 2 lane with paved shoulder from existing chainage km 102000 to km 134950 Design chainage km 90150 to km 116980 including construction of Naushera Tunnel Total length of tunnel 0.700 km under 31 TF on Akhnoor-Poonch road NH-144A in the UT of Jammu & Kashmir under Project Sampark BRO on EPC mode Package-V Job no NH-144A-J&K-2020-21-104,(MoRTH),Jammu and Kashmir,03/2021,07/2022,,07/2024,-,642.24,572.51,0.0,99.0,Roads & Highways
1101,618221,Rehabilitation and upgradation to 2 lane with paved shoulder from existing chainage Km 166.100 to Km 192.98 design chainage Km 146.700 to Km 162.800 including construction of Bhimber Gali Tunnel Total Length of Tunnel 1.100 Km under 31 BRTF on Akhnoor-Poonch Roads on EPC mode NH-144A Package-VII,(MoRTH),Jammu and Kashmir,09/2021,07/2024,,07/2026,-,734.64,734.64,0.0,41.0,Roads & Highways
1102,618222,Widening and Strengthening up gradation to 2 lane with paved shoulder from existing chainage Km 192.98 to Km 229.820 design chainage Km 162.800 to Km 198.18 under 31 BRTF on Akhnoor-Poonch Road NH-144A in the UT of Jammu and Kashmir under Project Sampark Border Roads Organisation BRO on EPC Mode Package-VIII Job No NH-144A-J&K-2022-2023-111,(MoRTH),Jammu and Kashmir,10/2022,01/2024,,01/2026,-,562.45,562.45,127.71,65.0,Roads & Highways
1103,618223,Rehabilitation and up-gradation to 2 lane with paved shoulder from existing chainage km 64535 to km 85385 Design chainage km 55800 to km 74350 under 13 TF on Akhnoor-Poonch road NH-144A under Project Sampark BRO in the UT of Jammu & Kashmir on EPC mode Package-III Job no NH-144A-J&K-2019-20-79,(MoRTH),Jammu and Kashmir,03/2020,09/2021,,09/2023,-,152.93,152.93,66.69,85.0,Roads & Highways
1104,618224,Rehabilitation and up-gradation to 2 lane with paved shoulder from existing chainage km 49150 to km 64535 Design chainage km 46.450 to km 55.800 including construction of Sungal Tunnel Total length of Tunnel 2.79 km under 13 TF on Akhnoor-Poonch road NH-144A under Project Sampark BRO in the UT of Jammu & Kashmir on EPC mode Package-II Job no NH-144A-J&K-2019-20-78,(MoRTH),Jammu and Kashmir,03/2020,08/2021,,08/2024,-,796.97,796.97,419.73,90.0,Roads & Highways
1105,618225,Rehabilitation and up-gradation to 2 lane with paved shoulder from existing chainage km 134950 to km 166100 Design chainage km 116980 to km 146700 under 31 TF on Akhnoor-Poonch road NH-144A in the UT of Jammu & Kashmir under Project Sampark BRO on EPC mode Package-VI Job no NH-144A-J&K-2021-22-106,(MoRTH),Jammu and Kashmir,07/2021,07/2022,,07/2024,-,395.25,395.25,137.46,86.0,Roads & Highways
1106,618226,Rehabilitation and upgradation to 2 lane with paved shoulder from existing chainage Km 30.053 to Km 49.150 design chainage Km 30.000 to Km 46.450 including Kandi Tunnel under 31 BRTF on Akhnoor-Poonch Road NH-144A Under Project Sampark in the UT of Jammu & Kashmir EPC modePackage-I Job no NH-144A-J&K-2020-21-83.,(MoRTH),Jammu and Kashmir,07/2020,11/2022,,11/2024,-,272.49,272.49,156.36,93.0,Roads & Highways
1107,618394,Up-gradation to 2-lane with Paved Shoulder from Km 12.850 to Km20.300 of 7.450Km length on Goha-Khellani section and a link road to Goha village of 2.016 km on NH- 244 in UT of Jammu and Kashmir on EPC Mode Pkg-1,(NHIDCL),Jammu and Kashmir,07/2020,10/2020,,04/2022,06/2025,228.39,225.37,159.56,90.0,Roads & Highways
1108,618395,"Construction & Upgradation to 2-lane with paved shoulder from Design Ch. Km 51700 at Premnagar km 66315 to Km 66535 New Thatri at Start of Km 83rd, Tunnel Km 82665 of 14.835 Km design length on Chenani-Sudhmahadev-Goha Khellani- Kishtwar-Vailoo Donipawa-Ashajipora section of NH-244 in the UT of J&K on EPC Mode under NHO-Gen Pkg - 2",(NHIDCL),Jammu and Kashmir,03/2021,08/2021,,02/2023,07/2025,512.43,512.43,153.01,52.0,Roads & Highways
1109,618396,Construction & Upgradation to 2 lane with paved shoulder from Design Km. 31.449 Khellani Ex. Km 44.946 to Km 51.700 Prem Nagar Ex. Km 68617 of 20.251 Km length on Khellani - Kishtwar - Chattroo section of NH-244 in the UT of J&K on EPC Mode under NHO-Gen PKG- 1,(NHIDCL),Jammu and Kashmir,02/2021,03/2021,,09/2021,10/2024,486.45,486.45,0.0,0.0,Roads & Highways
1110,618397,Widening and Up-gradation to 2-Lane with Paved Shoulder of configuration and geometric improvement from Km 0.000 to Km 16.990 on Chenani Sudhmahadev section of NH-244 in UT of Jammu and Kashmir to be executed on EPC basis,(NHIDCL),Jammu and Kashmir,03/2018,11/2018,,11/2020,02/2022,255.9,255.9,0.0,0.0,Roads & Highways
1111,618398,Up-gradation to 2-lane with Paved Shoulder from Km 20.300 to Km 29.030 of 8.730 Km length on Goha-Khellani section on NH-244 in UT of Jammu and Kashmir on EPC Mode Package II,(NHIDCL),Jammu and Kashmir,07/2020,10/2020,,04/2022,06/2025,210.79,210.79,172.27,94.0,Roads & Highways
1112,618399,Construction of Kishtwar bypass with 2 lane with paved shoulder from Design Km. 80.675 Dulhasti to km 95.550 Bandarkoot of 14.88 km & a link road to Kishtwar town from 0000 to 1.871 of length1.871 Km on Khellani - Kishtwar - Chattroo section in UT of Jammu and Kashmir on EPC Mode Pkg-4,(NHIDCL),Jammu and Kashmir,03/2021,08/2021,,08/2023,03/2026,859.67,859.67,302.2,48.0,Roads & Highways
1113,618400,Construction & Upgradation to 2-lane with paved shoulder from Design Km 67.805 at the end of Km 83rd Tunnel near Dhrabshalla Ex. Km 83905 to Km 80.675 start of Kishtwar Bypass - Dulhasti Ex. Km 970751 of 12.870 Km length on chenani- Sudhmahadev-Goha Khellani-Kishtwar-vailoo-Donipawa-Ashajipora seition of NH-244 in the UT of J&K on EPC Mode under NHO-Gen Pkg-3,(NHIDCL),Jammu and Kashmir,03/2021,07/2021,,12/2022,10/2024,398.51,398.51,99.22,98.0,Roads & Highways
1114,618406,Up-gradation to 4-lane with Paved Shoulder of Jammu-Akhnoor road section of NH- 144A from Ganesh Vihar Km 6.000 to Khati Chowk Km 26.350 in UT of Jammu and Kashmir on EPC basis Pkg-3A,(NHIDCL),Jammu and Kashmir,03/2018,07/2019,,07/2021,05/2022,322.49,322.49,0.0,0.0,Roads & Highways
1115,618494,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XV [Junction with Hiranagar Road near village Gurha Baildaran to Junction with Jammu Ring Road NH-244A near Jakh village from Km 468100 to Km 503250],(National Highways Authority of India [NHAI]),Jammu and Kashmir,10/2021,09/2022,,09/2024,02/2026,2714.95,3716.56,1620.48,88.0,Roads & Highways
1116,618495,4/6L Access Control Expressway from Design Chainage Km 515.000 to 528.300 Kunjwani to Sidhra Section of NH-44 and from Design Chainage Km 550.900 to Km 566.520 Domel to Katra Section Phase II-Package XVII,(National Highways Authority of India [NHAI]),Jammu and Kashmir,06/2022,06/2023,,06/2025,02/2026,2894.74,2894.74,781.47,59.0,Roads & Highways
1117,618496,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XVI Existing Jakh Vijaypur-Kunjwani section of NH-44 including spur Connectivity to Jammu Airport NH-144A [Km 503500 to km 514500],(National Highways Authority of India [NHAI]),Jammu and Kashmir,09/2021,09/2022,,09/2024,03/2026,1821.72,2522.56,1157.4,92.0,Roads & Highways
1118,618497,Delhi Amritsar Katra Expressway Phase-II Pkg XVIII Development and Upgradation of Four lane Access Control Expressway from Design Chainage KM 530.00 to KM 545.300 Sidhra to Domel Section of NH-44,(National Highways Authority of India [NHAI]),Jammu and Kashmir,12/2022,11/2023,,11/2025,-,975.38,975.38,470.83,59.0,Roads & Highways
1119,618541,4L Ring road/bypass around Srinagar city from km 0.000 to km 42.100 Phase-I,(National Highways Authority of India [NHAI]),Jammu and Kashmir,03/2021,08/2021,,02/2024,10/2025,2919.96,2604.76,1752.78,85.0,Roads & Highways
1120,618543,4L of twin tube tunnel configuration including approaches from Marog to Digdol from Km.154.210 to Km.158.650 North Bound and from Km.155.940 to Km.160.260 South Bound of Ramban to Banihal Pkg-I of Old NH-1A New NH-44,(National Highways Authority of India [NHAI]),Jammu and Kashmir,07/2021,08/2022,,08/2025,06/2026,1912.17,1034.3,328.3,24.0,Roads & Highways
1121,618544,"4L twin tube tunnel including approaches from Digdol to Khuni Nallah North Bound connecting with existing major bridge on NB and South Bound connecting with Tunnel T4 ,Single tube tunnel of Ramban to Banihal Pkg-II of Old NH-1A New NH-44",(National Highways Authority of India [NHAI]),Jammu and Kashmir,07/2021,02/2022,,06/2024,05/2025,1401.87,1020.99,965.59,87.0,Roads & Highways
1122,618545,"4L of Km.165.092 to Km.171.855 North Bound and from Km.166.895 to Km.173.638 South Bound, excl. certain reaches of North Bound and South Bound of Ramban to Banihal Pkg-III of Old NH-1A New NH-44",(National Highways Authority of India [NHAI]),Jammu and Kashmir,07/2021,02/2022,,08/2024,-,614.48,444.76,240.81,42.0,Roads & Highways
1123,618546,Construction of Tunnels/Viaducts at identified sliding/slip zones at Km 130.550 to Km.130.750 Km. 131.170 to Km. 131.763 Km. 132.560 to Km. 133.168 Km. 133.590 to Km. 133.743 and Km. 147.877 to Km. 148.715 of Udhampur-Ramban section of NH-44,(National Highways Authority of India [NHAI]),Jammu and Kashmir,09/2021,04/2022,,10/2023,06/2025,442.14,533.11,324.74,36.0,Roads & Highways
1124,618547,2L NH-1 from km 8.660 to km 33.775 Sumbal to Wayul to 4L dual carriageway NH standard as part of Srinagar Ring Road PhaseII [Design Ch. 41.907 to Ch. 66.609],(National Highways Authority of India [NHAI]),Jammu and Kashmir,11/2022,12/2023,,06/2026,-,961.0,643.64,388.13,43.0,Roads & Highways
1125,618548,Stand-alone Ring road/bypass around Jammu City from Raya Morh km. -0.687 to Jagti km. 57.568,(National Highways Authority of India [NHAI]),Jammu and Kashmir,12/2017,01/2018,,01/2021,10/2023,2023.88,2117.63,54.24,99.0,Roads & Highways
1126,618549,Construction of twin tube tunnels on Jammu Kashmir Ring Road NH-244A Between Design Ch. 50600 to 51700 and design Ch. 53535 to 55700 on EPC mode under residual NHDP component of Bharatmala Pariyojna,(National Highways Authority of India [NHAI]),Jammu and Kashmir,11/2022,06/2023,,06/2025,03/2026,242.65,731.59,638.36,82.0,Roads & Highways
1127,618550,Corridor Efficiency Improvement including removal of black spots in Lakhanpur - Samba section of NH-44 from Chainage Km. 16.300 to Km. 74.100,(National Highways Authority of India [NHAI]),Jammu and Kashmir,06/2022,12/2022,,06/2024,05/2025,855.74,215.68,189.56,74.0,Roads & Highways
1128,618967,Upgradation and Strengthening of Chenani to Nashri Section via Patnitop of NH244 from Km 0.000 to Km 39.100,(National Highways Authority of India [NHAI]),Jammu and Kashmir,03/2024,08/2024,,08/2026,-,295.06,295.06,131.8,54.0,Roads & Highways
1129,619038,Construction/upgradation to 2-lane with paved shoulder from Design Km 95.55 Bandarkoot to Km. 111.06 Chattroo of 15.52 Km length on Khellani-Kishtwar-Chattroo section on NH-244 in UT of Jammu and Kashmir on EPC Mode Pkg-5,(NHIDCL),Jammu and Kashmir,03/2021,08/2021,,02/2023,06/2025,497.09,497.09,237.9,95.0,Roads & Highways
1130,618060,Widening and Strengthening of existing paveemnt to two lane with paved shoulders from km 116.00 to km 176.355 of NH-75E in the State of Jharkhand on EPC mode.,(MoRTH),Jharkhand,01/2022,01/2023,,07/2024,-,315.21,315.21,129.49,87.0,Roads & Highways
1131,618083,Construction of byepass around Lohardaga town of NH-143A in the Sate of Jharkhand under EPC mode.,(MoRTH),Jharkhand,02/2022,01/2024,,01/2026,-,458.78,458.78,0.0,0.0,Roads & Highways
1132,618084,Widening to 2-lane with paved shoulder from km 0.00 to 44.00 Kuru-Ghaghra section of NH-143A including re-construction of culverts and bridges.,(MoRTH),Jharkhand,02/2020,08/2021,,08/2023,11/2023,153.01,133.67,77.0,93.0,Roads & Highways
1133,618123,Widening and Strengthening/Reconstruction to Two Lane with Paved Shoulder/ Two Lane with paved shoulders with service road from km 0000 to km 42250 excluding design Ch. 03220 to 04200 & 28350 to 29060 of NH-320G in the state of Jharkhand under EPC mode,(MoRTH),Jharkhand,03/2022,08/2023,,08/2025,-,423.18,423.18,4.11,0.0,Roads & Highways
1134,618127,Construction of 2- Lane with paved shoulder from km 56.45 Dharampur More to 93.050 Pakur of NH-333A in the State of Jharkhand on EPC mode,(MoRTH),Jharkhand,03/2023,11/2025,,05/2027,-,255.73,255.73,0.0,2.0,Roads & Highways
1135,618242,Widening and Reconstruction to 4-lane/4-lane with service road including structures from Pokharia More at Km 47.600 Ex. Km 50.230 to Govindpur at km 62.949 Ex. Km 65.325 of Nh-419 in the State of Jharkhand on EPC mode.,(MoRTH),Jharkhand,05/2022,01/2024,,01/2026,-,300.46,300.46,76.71,42.0,Roads & Highways
1136,618535,Construction of Six lane elevated flyover including reconstruction/rehabilitation of existing pavement from Km 406100 to Km 411150 Length 5.05 Km at Gobindpur area in the Barwa Adda Panagarh section of NH-19 from Km.398.240 to Km.521.120 including Panagarh Bypass in the State of Jharkhand on EPC Mode.,(National Highways Authority of India [NHAI]),Jharkhand,01/2025,09/2025,,03/2028,-,687.77,442.52,21.7,6.0,Roads & Highways
1137,618641,4 Lane of CG/JH Border-Gumla from km 0.000 to km 32.370 of NH-43 in the State of Jhrkhand,(National Highways Authority of India [NHAI]),Jharkhand,08/2024,02/2026,,02/2028,-,1325.8,1325.8,12.69,0.0,Roads & Highways
1138,618642,4L of Palma to Gumla from km. 26.00 to km. 89.170 of NH-23,(National Highways Authority of India [NHAI]),Jharkhand,03/2020,04/2022,,03/2024,10/2024,1882.93,1895.75,830.57,98.0,Roads & Highways
1139,618644,4L of Ormanjhi-Gola section from Km 81.450 to Km 53.600 of NH- 320BPKG-II,(National Highways Authority of India [NHAI]),Jharkhand,02/2022,06/2023,,06/2025,-,1214.93,1462.19,769.08,86.0,Roads & Highways
1140,618645,4L of Gola-BokaroJaina More section from Km 53.600 to Km 21.110 of NH-320PKG-1,(National Highways Authority of India [NHAI]),Jharkhand,02/2022,06/2023,,06/2025,01/2026,1007.97,1030.64,366.88,76.0,Roads & Highways
1141,618736,4L Elevated corridor of Kalimandir-Dimna Chowk-Baliguma Jamshedpur Section of NH-33 New NH-18 from km 241940 to km 251961 Length 10.021 km,(National Highways Authority of India [NHAI]),Jharkhand,03/2024,09/2024,,03/2027,-,936.26,832.2,210.52,35.0,Roads & Highways
1142,618737,Grade separated Interchanges at Km. 113.730 junction with Ranchi Hazaribagh Road & Km. 139.225 junction with Ranchi Jamshedpur road on 4L Ranchi Bypass of NH-33,(National Highways Authority of India [NHAI]),Jharkhand,01/2025,12/2025,,12/2027,-,303.53,5.58,0.73,0.0,Roads & Highways
1143,618829,4L from km 196.87 Sankha to km 219.6 Khajuri on NH-75 [Rehla / Garhwa Bypass],(National Highways Authority of India [NHAI]),Jharkhand,09/2020,10/2021,,10/2023,-,1129.48,1129.48,527.11,93.0,Roads & Highways
1144,618830,4L from Km 147.450 Bhogu to Km 196.870 Sankha on NH-75 Sec-III,(National Highways Authority of India [NHAI]),Jharkhand,10/2022,11/2023,,11/2025,-,1517.87,1652.09,949.61,76.0,Roads & Highways
1145,618831,4L from Km 95.400 Udaipura to Km 147.450 Bhogu on NH-75 Sec-II,(National Highways Authority of India [NHAI]),Jharkhand,03/2023,10/2024,,10/2026,-,1436.8,1301.54,177.44,25.0,Roads & Highways
1146,618832,4L from Km 55.00 Kuru to Km 95.400 Udaipura on NH-75 Sec-I,(National Highways Authority of India [NHAI]),Jharkhand,02/2024,01/2026,,01/2028,-,1274.82,1274.82,1.69,0.0,Roads & Highways
1147,618863,Barhi-Koderma Section of NH31 km 0.00 - km 27.5,(National Highways Authority of India [NHAI]),Jharkhand,02/2017,11/2019,,08/2024,08/2024,662.44,826.59,478.47,98.0,Roads & Highways
1148,618946,4L of Mehgama - Hansdiha from km. 41.900 to km. 93.000 of NH -133A Pkg-II,(National Highways Authority of India [NHAI]),Jharkhand,03/2022,05/2023,,05/2025,03/2026,1479.72,1568.18,866.62,99.0,Roads & Highways
1149,618947,4L of NH-80 from km 215.00 to km 260.00 Mirza Chauki to Farkka Pkg-I,(National Highways Authority of India [NHAI]),Jharkhand,03/2018,12/2021,,07/2023,02/2026,1504.8,1508.21,785.08,91.0,Roads & Highways
1150,618949,4L of Basukinath- Deoghar Section of NH-114A,(National Highways Authority of India [NHAI]),Jharkhand,09/2022,12/2023,,12/2025,-,1444.94,1553.76,643.68,78.0,Roads & Highways
1151,618950,Construction of Bypass to NH-114A Connecting NH-333 and NH-133 Deoghar Bypass from design km 0.000 to design Km 49.000,(National Highways Authority of India [NHAI]),Jharkhand,11/2024,01/2026,,01/2028,-,1565.47,1565.47,0.12,0.0,Roads & Highways
